name,description
acidulate,"To use an acid (such as that found in citrus juice, vinegar, or wine) to prevent browning, alter flavour, or make an item safe for canning."
al dente,To cook food (typically pasta) to the point where it is tender but not mushy.
amandine,"A culinary term indicating a garnish of almonds. A dish served amandine is usually cooked with butter and seasonings, then sprinkled with whole or flaked, toasted almonds."
anti-griddle,A kitchen appliance that flash freezes or semi-freezes foods placed on its chilled metal top.
aspic,"A savoury gelatin made from meat stock or consomme, and often shaped in a mold. Foods served in aspic are suspended in or on top of the gelatin."
au gratin,Prepared in the gratin style. Foods served au gratin are topped with breadcrumbs or cheese then browned under a broiler.
au jus,"Foods served au jus, typically meat or sandwiches, are served with an unthickened sauce made from roast meat drippings, commonly in a separate side dish."
au poivre,"Foods served au poivre, typically steak, are crusted with ground black pepper prior to cooking."
backwoods cooking,"A method of cooking without the use of utensils that commonly takes place in remote areas, often in combination with wild or conventional camping."
baghaar,A cooking technique used in Pakistani cuisine and Indian cuisine in which cooking oil is heated and spices are added to fry. The oil is then added to a dish for flavoring.
bain-marie,A method of cooking where a container of food is placed in or above boiling water in order to heat gradually or to keep warm.
baking,"A dry-heat cooking method, usually in an oven, that uses convection rather than direct heat."
barding,Wrapping meat in fat prior to roasting.
barbecuing,Cooking meat or fish slowly over a barbecue grill with indirect heat and smoke.
basting,Periodically pouring liquid over food as it roasts.
blanching,"A technique by which a fresh food such as a vegetable or fruit is briefly immersed in boiling water, removed after a timed interval, and then plunged into iced water or rinsed with cold running water (shocking or refreshing) to halt the cooking process."
boiling,A wet cooking method where the food is cooked in boiling water.
braising,"A combination-cooking method that uses both wet and dry heats: typically, the food is first seared at a high temperature, then finished in a covered pot at a lower temperature while sitting in some (variable) amount of liquid (which may also add flavor)."
bricolage,The preparation of a meal from whatever ingredients happen to be on hand.
brine,To soak a food item in salted water.
broasting,A method of cooking chicken and other foods using a pressure fryer and condiments.
browning,The process of partially cooking the surface of meat to help remove excessive fat and to give the meat a brown color crust and flavor through various browning reactions.
candy making,"The preparation of candies and sugar confections by dissolving sugar in water or milk to form a syrup, which is boiled until it reaches the desired concentration or starts to caramelize."
caramelization,"The browning of sugar, a process used extensively in cooking for the resulting nutty flavor and brown color."
carryover cooking,The phenomenon by which food retains heat and continues to cook even after being removed from the source of heat.
cartouche,"Cooking technique involving a round piece of parchment paper placed directly on food to retain moisture, prevent skin formation, and promote even cooking"
casserole,Food cooked and served in a casserole dish.
charbroiler,"A cooking device consisting of a series of grates or ribs that can be heated using a variety of means, and is used in both residential and commercial applications for a variety of cooking operations."
cheesemaking,The craft of making cheese.
chiffonade,To cut leaves into long thin strips.
red cooking,"A slow braising technique that imparts a red color to the prepared food, frequently used in Chinese cuisine."
clay pot cooking,A process of cooking food in a pot made from unglazed and natural clay.
coddling,Heating food in water kept just below the boiling point. Coddled egg may be prepared using this method.
concasse,"To rough chop any ingredient, especially vegetables. The term is particularly applied to tomatoes, where tomato concasse is a tomato that has been peeled, seeded (seeds and skins removed), and chopped to specified dimensions."
conche,"A surface-scraping mixer and agitator that evenly distributes cocoa butter within chocolate, and may act as a ""polisher"" of the particles."
confit,"A generic term for various kinds of food that have been cooked in grease, oil, or sugar water (syrup)."
consomme,A type of clear soup made from richly flavored stock or bouillon that has been clarified.
cooking with alcohol,Many dishes incorporate alcoholic beverages into the food itself.
cream,"The butterfat-heavy portion of whole milk that, due to its fat content, separates from the milk and rises to the top."
creaming,Either combining ingredients (typically butter and sugar) into a smooth paste or cooking meat or vegetables in a thick dairy-based sauce.
croquette,A small roll made of finely chopped meat and/or vegetables that is breaded and fried.
culinary triangle,"A concept described by anthropologist Claude Levi-Strauss involving three types of cooking: boiling, roasting, and smoking, usually done to meat."
curdling,"The breaking of an emulsion or colloid into large parts of different composition through the physico-chemical processes of flocculation, creaming, and coalescence. Curdling is intentional and desirable in making cheese and tofu, but may be unintentional and undesirable in making other foods such as sauces and custards."
cured fish,"Fish preserved by fermentation, pickling, smoking, or some combination of these techniques."
curing,"Any of a wide variety of food preservation and flavoring processes used for foods such as meat, fish, and vegetables, by the addition of a combination of salt, nitrates, nitrite, or sugar. Many curing processes also involve smoking, the process of flavoring, or cooking. The use of food dehydration was the earliest form of food curing."
deep frying,"A technique by which a food is completely submerged in hot fat or oil (as opposed to ordinary frying, which involves placing the food in a shallow pool of oil)."
deglazing,"To remove fond from the bottom of a pan by adding liquid, usually in the form of stock, wine, or water."
degreasing,"Degreasing is the process of removing excess fat from stocks, soups, sauces, or braising liquids to improve texture and flavor. Common techniques include skimming with a spoon, using a fat-separator cup, or chilling the liquid to solidify fat for easy removal."
dough sheeting,A technique used in industrial bakeries that involves rolling out dough into a (consistent) dough sheet with a desired even thickness prior to baking.
dredging,Coating the exterior of a food with a dry material (such as breadcrumbs) prior to cooking.
dry roasting,"Dry roasting is a technique that applies heat to food, primarily nuts, seeds, and spices, without any oil, fat, or water, often in a hot pan, wok, or oven."
drying,"Any of a variety of processes by which a food is preserved by removing moisture, often by the use of a modern food dehydrator or by the traditional method of allowing sunlight and fresh air to evaporate moisture."
dum pukht,"A cooking technique associated with the Awadh region of India, in which meat and vegetables are cooked over a very low flame, generally in sealed containers."
